number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
3,3,5,Darkness - lights unlit,Raining + high winds,Wet or damp,None,Other object on road
3,9,3,Darkness - lighting unknown,Fine no high winds,Dry,None,Previous accident
3,5,3,Darkness - lighting unknown,Fine no high winds,Dry,Mud,None
3,4,5,Daylight,Fine no high winds,Frost or ice,Oil or diesel,None
3,3,3,Daylight,Fine no high winds,Dry,Road surface defective,Any animal in carriageway (except ridden horse)
3,6,8,Darkness - lights lit,Other,Frost or ice,Roadworks,None
3,3,3,Daylight,Fine no high winds,Dry,Oil or diesel,Vehicle load on road
3,7,4,Darkness - no lighting,Other,Wet or damp,None,Vehicle load on road
3,3,3,Daylight,Fog or mist,Frost or ice,Mud,None
3,3,3,Darkness - no lighting,Fog or mist,Dry,None,Any animal in carriageway (except ridden horse)
3,3,3,Darkness - no lighting,Other,Flood over 3cm. deep,None,None
3,7,5,Daylight,Fine + high winds,Dry,None,Previous accident
3,3,3,Darkness - lights lit,Fine no high winds,Frost or ice,Road surface defective,None
3,5,5,Darkness - no lighting,Fine no high winds,Flood over 3cm. deep,None,Other object on road
3,5,7,Darkness - lights lit,Raining no high winds,Wet or damp,Auto traffic signal - out,Other object on road
3,5,5,Darkness - lights lit,Raining + high winds,Wet or damp,Road surface defective,None
3,4,5,Darkness - no lighting,Fog or mist,Snow,None,None
3,6,4,Daylight,Raining no high winds,Dry,Auto signal part defective,None
2,6,7,Daylight,Fog or mist,Wet or damp,None,Previous accident
2,3,2,Daylight,Snowing + high winds,Frost or ice,Road surface defective,None
2,4,2,Daylight,Other,Frost or ice,Roadworks,None
2,2,3,Darkness - lights lit,Fine no high winds,Dry,Auto traffic signal - out,Pedestrian in carriageway not injured
2,3,2,Darkness - no lighting,Fine + high winds,Wet or damp,Roadworks,None
2,3,2,Daylight,Fog or mist,Frost or ice,None,Any animal in carriageway (except ridden horse)
2,4,5,Darkness - lights lit,Fine + high winds,Dry,Auto traffic signal - out,None
2,3,3,Darkness - lights unlit,Fine no high winds,Wet or damp,None,Vehicle load on road
2,4,2,Darkness - no lighting,Other,Wet or damp,Roadworks,None
2,4,3,Darkness - lights lit,Raining no high winds,Dry,Auto traffic signal - out,None
2,6,6,Darkness - lights unlit,Snowing + high winds,Frost or ice,None,None
2,2,2,Darkness - no lighting,Raining no high winds,Wet or damp,Mud,Vehicle load on road
2,5,8,Daylight,Fine + high winds,Wet or damp,None,Vehicle load on road
2,3,3,Darkness - lights lit,Raining no high winds,Wet or damp,Roadworks,Pedestrian in carriageway not injured
2,6,2,Daylight,Fog or mist,Frost or ice,None,Previous accident
2,3,4,Darkness - no lighting,Fog or mist,Wet or damp,Road surface defective,None
2,3,2,Daylight,Snowing no high winds,Snow,None,Vehicle load on road
2,5,2,Darkness - no lighting,Snowing no high winds,Frost or ice,None,Previous accident
2,3,2,Darkness - lights unlit,Fine no high winds,Dry,Mud,None
2,3,7,Darkness - lights unlit,Raining no high winds,Wet or damp,Mud,None
2,4,3,Darkness - no lighting,Raining no high winds,Flood over 3cm. deep,None,Previous accident
2,2,2,Darkness - lights lit,Fog or mist,Dry,None,Other object on road
2,4,2,Darkness - lights lit,Snowing + high winds,Dry,None,None
2,2,2,Darkness - no lighting,Raining + high winds,Dry,None,None
2,2,3,Darkness - no lighting,Raining + high winds,Flood over 3cm. deep,Road surface defective,None
2,4,3,Daylight,Raining + high winds,Wet or damp,Auto signal part defective,None
2,2,2,Daylight,Fine no high winds,Dry,Mud,Vehicle load on road
2,5,3,Darkness - lights lit,Other,Dry,None,Vehicle load on road
2,2,2,Daylight,Raining no high winds,Flood over 3cm. deep,Road surface defective,Other object on road
2,3,2,Darkness - lights lit,Fine no high winds,Dry,Roadworks,Vehicle load on road
2,2,2,Darkness - no lighting,Fine + high winds,Snow,None,None
2,6,4,Darkness - lights unlit,Raining + high winds,Wet or damp,Roadworks,None
2,12,11,Daylight,Raining no high winds,Frost or ice,None,Previous accident
2,5,3,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,None,Previous accident
2,2,2,Daylight,Fine no high winds,Wet or damp,Roadworks,Vehicle load on road
2,5,7,Darkness - no lighting,Raining + high winds,Wet or damp,None,Vehicle load on road
2,3,2,Daylight,Other,Wet or damp,Mud,Other object on road
2,3,2,Daylight,Fog or mist,Wet or damp,Road surface defective,None
2,3,2,Daylight,Snowing + high winds,Snow,None,Other object on road
2,2,2,Darkness - lights lit,Raining no high winds,Wet or damp,Road sign or marking defective or obscured,Previous accident
2,3,6,Darkness - no lighting,Raining + high winds,Wet or damp,Oil or diesel,None
2,4,2,Darkness - no lighting,Other,Wet or damp,Mud,Any animal in carriageway (except ridden horse)
2,4,2,Daylight,Fine + high winds,Wet or damp,Auto traffic signal - out,None
2,5,3,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,Vehicle load on road
2,4,2,Darkness - lights unlit,Fine no high winds,Snow,None,None
2,2,2,Darkness - no lighting,Fog or mist,Wet or damp,None,Pedestrian in carriageway not injured
2,4,3,Daylight,Other,Frost or ice,None,Vehicle load on road
2,2,2,Darkness - no lighting,Raining no high winds,Frost or ice,Mud,None
2,5,2,Darkness - no lighting,Fine + high winds,Dry,Roadworks,Other object on road
2,4,3,Daylight,Snowing + high winds,Flood over 3cm. deep,None,None
2,4,3,Daylight,Snowing + high winds,Snow,None,Vehicle load on road
2,4,3,Daylight,Raining no high winds,Wet or damp,Oil or diesel,Pedestrian in carriageway not injured
2,8,10,Daylight,Snowing no high winds,Frost or ice,None,Previous accident
2,2,2,Darkness - lighting unknown,Fine + high winds,Dry,Roadworks,None
2,2,2,Darkness - lights lit,Other,Frost or ice,Auto traffic signal - out,None
2,5,11,Daylight,Fine + high winds,Dry,Roadworks,Other object on road
2,5,3,Daylight,Fine no high winds,Wet or damp,Roadworks,Previous accident
2,3,3,Darkness - lights lit,Snowing no high winds,Wet or damp,Roadworks,Other object on road
2,3,2,Darkness - lighting unknown,Other,Wet or damp,Auto traffic signal - out,None
2,3,2,Daylight,Other,Flood over 3cm. deep,Mud,None
2,6,6,Darkness - no lighting,Fine + high winds,Dry,Roadworks,None
2,2,2,Darkness - no lighting,Snowing no high winds,Snow,None,Any animal in carriageway (except ridden horse)
2,3,4,Daylight,Fog or mist,Wet or damp,Auto traffic signal - out,None
2,2,3,Darkness - lights unlit,Raining no high winds,Wet or damp,Roadworks,Other object on road
2,5,4,Darkness - lights unlit,Fine no high winds,Flood over 3cm. deep,None,None
2,4,2,Darkness - lights unlit,Fine no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
2,2,2,Daylight,Fog or mist,Dry,None,Any animal in carriageway (except ridden horse)
2,2,2,Daylight,Other,Frost or ice,Mud,None
2,2,2,Daylight,Snowing no high winds,Snow,Road surface defective,Other object on road
2,4,3,Darkness - lighting unknown,Other,Dry,Auto traffic signal - out,None
2,4,2,Darkness - lights lit,Snowing no high winds,Wet or damp,Roadworks,None
2,6,3,Daylight,Fine no high winds,Wet or damp,Auto traffic signal - out,Other object on road
2,4,2,Daylight,Fog or mist,Wet or damp,None,Vehicle load on road
2,2,4,Darkness - lights lit,Fine + high winds,Dry,None,Pedestrian in carriageway not injured
2,2,2,Daylight,Raining no high winds,Dry,None,Pedestrian in carriageway not injured
2,7,3,Daylight,Fine no high winds,Wet or damp,Mud,Previous accident
2,3,2,Darkness - lighting unknown,Fine no high winds,Dry,Roadworks,Other object on road
2,3,2,Daylight,Fog or mist,Dry,Roadworks,None
2,5,4,Darkness - no lighting,Snowing no high winds,Dry,None,None
2,2,2,Darkness - lighting unknown,Raining no high winds,Wet or damp,Oil or diesel,None
2,4,3,Darkness - lights lit,Raining + high winds,Wet or damp,Auto signal part defective,None
2,4,3,Daylight,Fine + high winds,Dry,Road sign or marking defective or obscured,Other object on road
2,9,7,Darkness - no lighting,Raining no high winds,Frost or ice,None,Previous accident
2,4,2,Daylight,Fine + high winds,Wet or damp,Oil or diesel,Previous accident
2,3,2,Darkness - lights lit,Fine no high winds,Dry,Oil or diesel,Other object on road
2,2,2,Darkness - lighting unknown,Fine no high winds,Frost or ice,None,Any animal in carriageway (except ridden horse)
2,3,2,Darkness - lights lit,Snowing no high winds,Wet or damp,None,Vehicle load on road
2,3,2,Daylight,Raining no high winds,Dry,Roadworks,Other object on road
2,3,2,Darkness - lights unlit,Other,Wet or damp,None,Any animal in carriageway (except ridden horse)
2,4,3,Darkness - no lighting,Other,Wet or damp,Road sign or marking defective or obscured,None
2,3,2,Darkness - lights lit,Fog or mist,Wet or damp,None,Vehicle load on road
2,4,2,Darkness - no lighting,Fog or mist,Wet or damp,None,Previous accident
2,3,2,Darkness - lighting unknown,Other,Wet or damp,Roadworks,None
2,4,3,Daylight,Fog or mist,Dry,Road sign or marking defective or obscured,None
2,2,2,Darkness - lights lit,Other,Frost or ice,None,Any animal in carriageway (except ridden horse)
2,3,2,Darkness - lights lit,Fog or mist,Wet or damp,Mud,None
2,3,2,Darkness - no lighting,Snowing no high winds,Snow,Roadworks,None
2,4,2,Darkness - lights lit,Raining + high winds,Wet or damp,Oil or diesel,None
2,3,2,Darkness - lights lit,Snowing no high winds,Snow,Road surface defective,None
2,4,2,Darkness - lights lit,Fine no high winds,Dry,Roadworks,Previous accident
2,2,4,Darkness - lights lit,Fine no high winds,Frost or ice,Roadworks,Other object on road
2,6,2,Darkness - no lighting,Fine + high winds,Dry,None,Previous accident
2,2,3,Daylight,Fog or mist,Wet or damp,None,Any animal in carriageway (except ridden horse)
2,3,3,Darkness - lights lit,Raining + high winds,Wet or damp,Mud,None
2,3,2,Darkness - lights lit,Raining + high winds,Flood over 3cm. deep,None,Other object on road
2,2,2,Darkness - no lighting,Raining no high winds,Flood over 3cm. deep,Road surface defective,None
2,2,3,Darkness - no lighting,Raining no high winds,Flood over 3cm. deep,Mud,None
2,3,2,Daylight,Other,Dry,Road sign or marking defective or obscured,None
2,3,2,Darkness - lights lit,Other,Wet or damp,Auto signal part defective,None
2,3,2,Darkness - lighting unknown,Snowing no high winds,Dry,None,None
2,4,4,Darkness - lights unlit,Raining no high winds,Wet or damp,Auto traffic signal - out,None
2,3,2,Darkness - lights lit,Raining + high winds,Wet or damp,Roadworks,Other object on road
2,2,4,Darkness - no lighting,Fine no high winds,Frost or ice,Mud,Any animal in carriageway (except ridden horse)
2,4,3,Darkness - lights unlit,Raining + high winds,Wet or damp,Road sign or marking defective or obscured,None
2,2,5,Darkness - no lighting,Other,Frost or ice,None,Any animal in carriageway (except ridden horse)
2,2,2,Darkness - no lighting,Fog or mist,Frost or ice,Mud,None
2,3,3,Daylight,Fine no high winds,Wet or damp,Oil or diesel,Vehicle load on road
2,2,2,Daylight,Fine no high winds,Wet or damp,Mud,Any animal in carriageway (except ridden horse)
2,2,2,Darkness - lights lit,Snowing no high winds,Snow,Roadworks,None
2,4,2,Darkness - lights unlit,Raining no high winds,Wet or damp,None,Vehicle load on road
2,2,2,Darkness - lights unlit,Raining no high winds,Wet or damp,Oil or diesel,None
2,2,2,Darkness - no lighting,Other,Wet or damp,Oil or diesel,None
2,4,2,Darkness - lighting unknown,Raining no high winds,Wet or damp,None,Vehicle load on road
2,3,2,Darkness - lights unlit,Raining + high winds,Flood over 3cm. deep,None,None
1,2,1,Darkness - no lighting,Snowing + high winds,Snow,Road sign or marking defective or obscured,None
1,1,2,Darkness - no lighting,Raining + high winds,Snow,Road surface defective,Other object on road
1,2,1,Darkness - lighting unknown,Fine no high winds,Dry,Auto signal part defective,None
1,2,1,Darkness - no lighting,Fine no high winds,Wet or damp,Road surface defective,Previous accident
1,2,1,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,None,Vehicle load on road
1,1,2,Daylight,Raining no high winds,Flood over 3cm. deep,Road sign or marking defective or obscured,None
1,1,1,Daylight,Raining no high winds,Snow,Auto traffic signal - out,Vehicle load on road
1,2,1,Darkness - no lighting,Other,Frost or ice,Road surface defective,Other object on road
1,2,1,Darkness - lights unlit,Fine no high winds,Wet or damp,Road surface defective,None
1,2,1,Darkness - lights unlit,Fine no high winds,Dry,Auto traffic signal - out,Vehicle load on road
1,1,2,Darkness - no lighting,Fine no high winds,Wet or damp,Road sign or marking defective or obscured,Previous accident
1,3,4,Daylight,Raining no high winds,Wet or damp,Auto traffic signal - out,Vehicle load on road
1,2,1,Darkness - lights unlit,Snowing + high winds,Snow,None,Other object on road
1,1,1,Daylight,Snowing no high winds,Frost or ice,None,Any animal in carriageway (except ridden horse)
1,1,1,Darkness - no lighting,Other,Wet or damp,None,Pedestrian in carriageway not injured
1,1,1,Daylight,Fine + high winds,Wet or damp,Road sign or marking defective or obscured,Other object on road
1,4,1,Darkness - lights lit,Snowing + high winds,Snow,None,Pedestrian in carriageway not injured
1,2,1,Darkness - lighting unknown,Fog or mist,Wet or damp,Auto traffic signal - out,None
1,1,1,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,Road surface defective,Other object on road
1,1,1,Darkness - no lighting,Raining + high winds,Flood over 3cm. deep,Auto traffic signal - out,None
1,1,1,Darkness - lights lit,Other,Dry,Road sign or marking defective or obscured,Other object on road
1,1,1,Daylight,Raining no high winds,Dry,Mud,Other object on road
1,1,1,Darkness - lights unlit,Fine no high winds,Flood over 3cm. deep,None,Other object on road
1,1,1,Darkness - no lighting,Fine no high winds,Dry,Roadworks,Any animal in carriageway (except ridden horse)
1,1,1,Darkness - no lighting,Fine no high winds,Flood over 3cm. deep,Mud,Other object on road
1,3,1,Darkness - lights lit,Snowing no high winds,Flood over 3cm. deep,None,None
1,2,1,Darkness - lights lit,Fine no high winds,Flood over 3cm. deep,Auto traffic signal - out,None
1,2,1,Daylight,Snowing no high winds,Wet or damp,Road surface defective,None
1,1,1,Daylight,Raining + high winds,Wet or damp,Mud,Other object on road
1,1,1,Darkness - no lighting,Fine no high winds,Dry,Mud,Any animal in carriageway (except ridden horse)
1,2,1,Daylight,Fine no high winds,Wet or damp,Oil or diesel,Any animal in carriageway (except ridden horse)
1,3,3,Darkness - no lighting,Fog or mist,Wet or damp,Mud,Previous accident
1,1,1,Darkness - lights lit,Raining no high winds,Wet or damp,Road sign or marking defective or obscured,Other object on road
1,2,1,Darkness - lighting unknown,Fine no high winds,Frost or ice,Roadworks,None
1,2,2,Daylight,Fine + high winds,Frost or ice,Roadworks,None
1,1,1,Daylight,Snowing no high winds,Wet or damp,Roadworks,Other object on road
1,1,1,Darkness - lighting unknown,Fog or mist,Dry,Roadworks,None
1,1,2,Daylight,Raining + high winds,Wet or damp,Mud,Any animal in carriageway (except ridden horse)
1,1,2,Daylight,Raining + high winds,Wet or damp,Road sign or marking defective or obscured,Other object on road
1,4,3,Darkness - lights lit,Other,Frost or ice,None,Vehicle load on road
1,1,1,Darkness - lights lit,Fine no high winds,Wet or damp,Oil or diesel,Vehicle load on road
1,2,1,Darkness - lights lit,Snowing no high winds,Frost or ice,None,Previous accident
1,1,2,Darkness - no lighting,Other,Frost or ice,Road surface defective,Any animal in carriageway (except ridden horse)
1,2,1,Darkness - no lighting,Raining no high winds,Frost or ice,Roadworks,None
1,1,1,Daylight,Fine no high winds,Wet or damp,Roadworks,Pedestrian in carriageway not injured
1,1,1,Daylight,Other,Snow,Mud,None
1,2,1,Darkness - no lighting,Snowing no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
1,3,1,Darkness - no lighting,Fine no high winds,Dry,Auto traffic signal - out,Previous accident
1,1,1,Darkness - no lighting,Fine + high winds,Dry,None,Vehicle load on road
1,2,1,Darkness - lighting unknown,Other,Dry,Road sign or marking defective or obscured,None
1,1,1,Darkness - no lighting,Raining no high winds,Flood over 3cm. deep,Mud,Other object on road
1,2,1,Darkness - lights lit,Fog or mist,Flood over 3cm. deep,None,None
1,1,1,Daylight,Raining no high winds,Dry,Mud,None
1,1,1,Daylight,Raining no high winds,Flood over 3cm. deep,Mud,None
1,2,1,Darkness - lighting unknown,Other,Dry,Road surface defective,None
1,4,4,Daylight,Raining no high winds,Flood over 3cm. deep,None,Previous accident
1,1,1,Darkness - no lighting,Snowing no high winds,Wet or damp,Mud,None
1,3,2,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,Previous accident
1,2,2,Darkness - no lighting,Fine + high winds,Flood over 3cm. deep,None,None
1,1,1,Darkness - lights lit,Snowing no high winds,Snow,None,Pedestrian in carriageway not injured
1,2,1,Darkness - no lighting,Fine no high winds,Dry,Oil or diesel,None
1,2,1,Darkness - lighting unknown,Raining + high winds,Wet or damp,Roadworks,None
1,1,1,Darkness - lighting unknown,Fine + high winds,Frost or ice,None,None
1,2,1,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,Road surface defective,None
1,2,1,Darkness - lighting unknown,Fog or mist,Wet or damp,Mud,None
1,1,2,Darkness - no lighting,Fog or mist,Dry,Mud,None
1,2,1,Daylight,Snowing no high winds,Wet or damp,Auto traffic signal - out,None
1,2,1,Darkness - lighting unknown,Other,Wet or damp,Roadworks,Other object on road
1,1,2,Daylight,Raining no high winds,Wet or damp,Mud,Any animal in carriageway (except ridden horse)
1,1,1,Darkness - lights lit,Snowing + high winds,Frost or ice,Oil or diesel,None
1,2,1,Darkness - lights lit,Raining no high winds,Frost or ice,None,Previous accident
1,2,2,Darkness - no lighting,Snowing no high winds,Snow,Road sign or marking defective or obscured,None
1,8,2,Daylight,Snowing no high winds,Snow,Road sign or marking defective or obscured,Previous accident
1,1,1,Darkness - no lighting,Snowing no high winds,Frost or ice,Mud,None
1,1,1,Darkness - lights lit,Raining + high winds,Wet or damp,Road surface defective,Vehicle load on road
1,4,1,Darkness - lighting unknown,Raining no high winds,Wet or damp,None,Previous accident
1,3,2,Darkness - lights lit,Fine + high winds,Snow,Roadworks,None
1,2,1,Daylight,Raining no high winds,Wet or damp,Roadworks,Vehicle load on road
1,6,5,Darkness - lights lit,Raining + high winds,Frost or ice,Road surface defective,None
1,1,1,Daylight,Other,Dry,Oil or diesel,None
1,2,1,Darkness - lights lit,Raining + high winds,Flood over 3cm. deep,None,Vehicle load on road
1,1,1,Daylight,Raining no high winds,Flood over 3cm. deep,Oil or diesel,None
1,1,1,Darkness - lights unlit,Other,Frost or ice,Auto traffic signal - out,None
1,1,2,Darkness - lights lit,Fine + high winds,Wet or damp,None,Vehicle load on road
1,2,2,Daylight,Fine + high winds,Wet or damp,Road sign or marking defective or obscured,None
1,1,1,Daylight,Raining no high winds,Wet or damp,Mud,Vehicle load on road
1,2,1,Darkness - lights lit,Fine no high winds,Wet or damp,Oil or diesel,Other object on road
1,2,2,Darkness - lighting unknown,Raining no high winds,Dry,Oil or diesel,Previous accident
1,3,3,Darkness - lights lit,Fine no high winds,Frost or ice,Mud,None
1,2,1,Daylight,Fine no high winds,Flood over 3cm. deep,Oil or diesel,None
1,4,1,Daylight,Fine no high winds,Snow,None,Other object on road
1,1,1,Darkness - lights unlit,Raining no high winds,Wet or damp,Auto signal part defective,None
1,2,1,Daylight,Snowing no high winds,Snow,Oil or diesel,None
1,2,1,Darkness - lights lit,Fine + high winds,Dry,Roadworks,Pedestrian in carriageway not injured
1,1,1,Daylight,Other,Frost or ice,None,Any animal in carriageway (except ridden horse)
1,1,6,Darkness - lights lit,Snowing + high winds,Frost or ice,Road surface defective,Other object on road
1,2,5,Darkness - lights lit,Raining no high winds,Dry,Mud,Other object on road
1,1,1,Darkness - lighting unknown,Snowing no high winds,Frost or ice,Auto traffic signal - out,None
1,2,1,Darkness - lights lit,Fine no high winds,Wet or damp,Road sign or marking defective or obscured,Previous accident
1,1,1,Darkness - no lighting,Raining + high winds,Wet or damp,Mud,Other object on road
1,1,1,Darkness - no lighting,Raining + high winds,Wet or damp,Auto traffic signal - out,None
1,2,1,Daylight,Fine no high winds,Flood over 3cm. deep,None,Other object on road
1,1,1,Darkness - no lighting,Fine no high winds,Dry,Roadworks,Vehicle load on road
1,1,1,Darkness - no lighting,Other,Flood over 3cm. deep,None,Other object on road
1,2,1,Darkness - no lighting,Other,Frost or ice,Road sign or marking defective or obscured,None
1,2,2,Darkness - no lighting,Other,Frost or ice,Road surface defective,None
1,2,1,Darkness - lights unlit,Fog or mist,Wet or damp,Roadworks,None
1,2,2,Darkness - lighting unknown,Other,Snow,None,None
